movie,recommendation
Fluke,"['Everything about Mustafa', 'The Cave of the Yellow Dog', 'Possible Loves', 'The Inheritance', 'Sunflower']"
Farinelli,"['Swimming to Cambodia', 'Rome, Open City', 'Intervista', 'A Brief History of Time', 'RKO 281']"
Gordy,"['Young Black Stallion', ""What's Cooking?"", 'Spider Baby', 'Andre', 'Our Hospitality']"
Gumby: The Movie,"[""You're a Good Man, Charlie Brown"", 'Pure Country', 'Cinderella', 'Cat Soup', 'Interstella 5555: The 5tory of the 5ecret 5tar 5ystem']"
The Glass Shield,"['Fort Apache, the Bronx', 'Kiss of the Dragon', 'The Alphabet Killer', 'The Gendarme and the Gendarmettes', 'Detroit 9000']"
Hoop Dreams,"['Stevie', 'Hoop Reality', 'American Teen', 'More Than a Game', 'Marjoe']"
Heavenly Creatures,"['FairyTale: A True Story', 'These Girls', 'Pauline & Paulette', 'Strings', 'Being John Malkovich']"
Houseguest,"['Our Hospitality', ""What's Cooking?"", 'Spider Baby', 'Cockles and Muscles', 'Over the Hedge']"
Immortal Beloved,"['Possible Loves', 'Allegro', 'Copying Beethoven', 'Kal Ho Naa Ho', 'Fanny']"
Heavyweights,"['Camp Nowhere', 'Meatballs Part II', 'Race for Your Life, Charlie Brown', 'Daddy Day Camp', 'Indian Summer']"
The Hunted,False
I.Q.,"[""L'eclisse"", 'A Little Romance', 'Dark Horse', 'Happenstance', 'The Grass Harp']"
Interview with the Vampire,"['He Who Gets Slapped', 'Dedication', 'House of Dark Shadows', 'The Other Man', 'Samsara']"
Jefferson in Paris,"['JCVD', 'The Lovers', 'Too Beautiful for You', 'An American Rhapsody', 'A Woman of Paris']"
The Jerky Boys,"['The Pope of Greenwich Village', 'Kops', 'Mail Order Bride', 'Freebie and the Bean', 'Thick as Thieves']"
Junior,"['Hello Down There', 'The Tall Guy', ""The Courtship of Eddie's Father"", ""What's Cooking?"", 'Bread and Tulips']"
Just Cause,"['The Naked City', 'The Big Easy', 'Q & A', 'Freeze Frame', 'St. Ives']"
A Kid in King Arthur's Court,"['Like Mike', 'Knights of the Round Table', 'Prince Valiant', 'Quest for Camelot', 'Little Man']"
Kiss of Death,False
Star Wars,"['The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: Episode III - Revenge of the Sith', 'Hot Shots! Part Deux', 'Star Wars: Episode I - The Phantom Menace']"
Little Women,False
A Little Princess,"['It Runs in the Family', 'Open Water 2: Adrift', 'Old Yeller', 'Love In Bloom', 'Daddy Nostalgia']"
Ladybird Ladybird,"['Rocket Gibraltar', 'Evelyn', 'Cyrus', 'Entertaining Angels - The Dorothy Day Story', 'Mr & Mrs Bridge']"
L'Enfer,"['Detective', 'Contempt', ""The Man Who Wasn't There"", 'Breathless', 'Nelly and Monsieur Arnaud']"
Like Water for Chocolate,"['Tune in Tomorrow...', 'Still Life', 'My Life Without Me', 'The Other Side of the Bed', 'Dedication']"
Legends of the Fall,"['House of Fools', 'Rules of Engagement', 'The Life and Death of Colonel Blimp', 'Resistance', 'The Tiger and the Snow']"
Major Payne,"['Hometown Legend', 'The Last Man', 'Race the Sun', 'Father Hood', 'Honey I Blew Up the Kid']"
Little Odessa,"['Intervista', 'Mala Noche', 'Pistol Opera', 'The Merry Gentleman', 'The Mechanik']"
Mi Vida Loca,"['Naqoyqatsi', ""What Doesn't Kill You"", 'Wildflowers', 'Less Than Zero', 'New York']"
Love Affair,False
Losing Isaiah,"['The Baby', 'Immediate Family', 'Paheli', 'Baby Doll', ""Look Who's Talking""]"
The Madness of King George,"['Richard III', 'French Cancan', 'The Importance of Being Earnest', 'The Crucible', 'Shadowlands']"
Mary Shelley's Frankenstein,"['Bride of Frankenstein', 'Frankenstein', 'The Curse of Frankenstein', 'The Evil of Frankenstein', 'The Revenge of Frankenstein']"
Man of the House,False
Mixed Nuts,"['The Story of Us', 'French Cancan', 'Sleepless in Seattle', 'What Happened Was...', 'The Fantasticks']"
Milk Money,"['Hugo Pool', 'Pie in the Sky', 'Under the Cherry Moon', 'The Triumph of Love', 'Love Stories']"
Miracle on 34th Street,False
Miami Rhapsody,"[""What's Cooking?"", 'Spider Baby', 'Mr & Mrs Bridge', 'Just Married', 'Marley & Me']"
My Family,"[""What's Cooking?"", 'Yours, Mine and Ours', 'Fiorile', 'Eulogy', 'Kiss of Death']"
Murder in the First,"['Escape from Alcatraz', 'After Image', 'Ten Canoes', 'They Live by Night', 'Chopper']"
Nobody's Fool,False
Nell,"['Silent Fall', 'Coma', 'Where Danger Lives', 'Brigham City', 'The Klansman']"
New Jersey Drive,"['The Wrong Arm of the Law', 'Just Another Love Story', 'In the Electric Mist', 'The Hitcher', ""Killer's Kiss""]"
New York Cop,"['New York', 'City By The Sea', 'Noise', 'Defiance', 'The City']"
Beyond Bedlam,"['Black Sheep', 'Serving Sara', 'GhostWatcher', 'Cool World', 'Death Note']"
Nemesis 2 - Nebula,"['Natural City', 'Ultraviolet', 'Mean Guns', 'Adrenalin: Fear the Rush', 'Phase IV']"
Nina Takes a Lover,"['Love Jones', 'Two Ninas', 'Vital Signs', 'Still Breathing', 'Do Fish Do It?']"
Natural Born Killers,"['Chronicles', 'Double Jeopardy', 'Kalifornia', 'Tightrope', 'The Postman Always Rings Twice']"
Only You,"['Cyrus', 'Lars and the Real Girl', 'Love Stories', 'Under the Bridges', 'Bell, Book and Candle']"
Once Were Warriors,"['It Runs in the Family', 'Barren Lives', 'Gordy', 'Doing Time on Maple Drive', ""What's Cooking?""]"
Poison Ivy II: Lily,"['Surviving Desire', 'Bad Guy', 'Loser', 'The Shape of Things', 'First Daughter']"
Outbreak,"['The Patriot', 'Path to War', 'Limbo', 'Osmosis Jones', 'Carriers']"
Leon: The Professional,"['The Midnight Meat Train', 'Hawaii, Oslo', ""Killer's Kiss"", 'Domestic Disturbance', 'New Waterford Girl']"
The Perez Family,"['Enemies: A Love Story', ""The Devil's Eye"", 'Law of Desire', 'Same Time, Next Year', 'Chapter Two']"
A Pyromaniac's Love Story,"['CRAZY', 'Bell, Book and Candle', 'Sabah', 'Dedication', 'Under the Bridges']"
Pulp Fiction,"['Reservoir Dogs', 'Four Rooms', 'Desperado', 'Rashomon', 'Billy Bathgate']"
Panther,"[""Sweet Sweetback's Baadasssss Song"", 'The Watermelon Woman', 'The Murder of Fred Hampton', 'Black Like Me', 'From the Journals of Jean Seberg']"
Pushing Hands,"['The Wedding Banquet', 'It Runs in the Family', 'The City', 'The Beautiful Country', 'All I Want For Christmas']"
Priest,"['The Crime of Padre Amaro', 'Possible Loves', 'Fanny', 'My Father the Hero', 'My Father the Hero']"
Quiz Show,"['Cradle Will Rock', 'Search and Destroy', 'Surviving Picasso', 'Firelight', 'To Hell and Back']"
Picture Bride,"['Wildflowers', 'The Hidden Blade', 'The White Sound', 'The Butterfly', 'New Waterford Girl']"
Queen Margot,"['Those Who Love Me Can Take the Train', 'Lucie Aubrac', 'Breathless', 'Our Music', 'The Night of Varennes']"
The Quick and the Dead,False
Prêt-à-Porter,"['Catwalk', 'The Player', 'French Cancan', 'Who Are You, Polly Maggoo?', 'Your Friends & Neighbors']"
Three Colors: Red,"['Three Colors: Blue', 'JLG/JLG: Self-Portrait in December', 'A Woman Is a Woman', 'Those Who Love Me Can Take the Train', 'First Name: Carmen']"
Three Colors: Blue,"['Three Colors: Red', 'Birth', 'Seventh Heaven', 'The Unsuspected', 'Three Colors: White']"
Three Colors: White,"['Three Colors: Blue', 'Three Colors: Red', 'A Jungle Book of Regulations', 'Korczak', 'The Big Animal']"
"Red Firecracker, Green Firecracker","['Pastoral Symphony', 'Radio Inside', 'CRAZY', 'Cyrus', 'A Price Above Rubies']"
Rent-a-Kid,"['Baby Geniuses', 'The Comedy of Terrors', 'Life Is a Long Quiet River', 'Cockles and Muscles', 'Pinocchio']"
Relative Fear,"['Adam & Paul', 'The Shape of Things', 'The Chamber', 'Lonelyhearts', 'The Pit, the Pendulum and Hope']"
Stuart Saves His Family,"['Threesome', 'Thumbsucker', 'Mystic Pizza', 'Coneheads', ""My Night at Maud's""]"
The Swan Princess,"['Sleeping Beauty', 'The Adventures of Prince Achmed', 'The Magic Flute', 'The Promise', 'The Shaggy Dog']"
The Secret of Roan Inish,"['The Italian', 'Paradise', 'The Way Home', 'Boy', 'Svampe']"
The Specialist,"['Masques', 'The Quick and the Dead', 'Narrow Margin', 'Foxy Brown', 'Blue Steel']"
Stargate,"['Yu-Gi-Oh! The Movie', 'Star Trek: Insurrection', 'Kin-dza-dza!', 'Hellboy II: The Golden Army', 'The Wild Blue Yonder']"
The Santa Clause,"['The Santa Clause 3: The Escape Clause', 'The Santa Clause 2', 'Ernest Saves Christmas', 'Santa Claus Conquers the Martians', 'Rudolph, the Red-Nosed Reindeer']"
The Shawshank Redemption,"['Civil Brand', 'South Central', 'Lockdown', 'Brubaker', 'Ariel']"
Shallow Grave,"['Trainspotting', ""River's Edge"", 'Young Adam', 'Mobsters', 'The Quickie']"
Suture,"['Clay Pigeons', 'How I Killed My Father', 'Possible Loves', 'I Never Sang for My Father', 'The Crime of Padre Amaro']"
Strawberry and Chocolate,"['Love & Human Remains', 'Wondrous Oblivion', 'A Very Natural Thing', 'Bongwater', 'Before Night Falls']"
Swimming with Sharks,"['The Jimmy Show', 'The Waiting Game', ""Jesus' Son"", 'Get Shorty', 'Movie Crazy']"
The Sum of Us,"['CRAZY', 'Sunflower', 'Romulus, My Father', 'The Son of the Sheik', 'Shower']"
Senior Trip,"['The Specials', ""Will Ferrell: You're Welcome America - A Final Night with George W. Bush"", 'Overnight Delivery', 'Le Petit Soldat', 'La Grande Bouffe']"
To Live,"['Pavilion of Women', 'Curse of the Golden Flower', 'House of Fools', 'War and Peace', 'The Life and Death of Colonel Blimp']"
Tank Girl,"['The Shadow', 'The Apple', 'Small Soldiers', 'Curse of the Puppet Master', 'Lost Horizon']"
Tales from the Crypt: Demon Knight,"['Tainted', 'Bordello of Blood', 'Behind the Mask: The Rise of Leslie Vernon', 'Tales of Terror', 'Bones']"
Star Trek: Generations,"['Star Trek: Insurrection', 'Star Trek: First Contact', 'Star Trek: Nemesis', 'Star Trek V: The Final Frontier', 'Star Trek VI: The Undiscovered Country']"
Tales from the Hood,"['Trilogy of Terror', 'Acacia', 'Reincarnation', 'Popcorn', 'Behind the Mask: The Rise of Leslie Vernon']"
Tom & Viv,"['David and Lisa', 'Century', 'A Price Above Rubies', 'Gabrielle', 'Frankie Starlight']"
Village of the Damned,False
Tommy Boy,"['The Rugrats Movie', 'Abbott and Costello Meet the Invisible Man', 'In the Navy', 'Good News', 'Rugrats in Paris: The Movie']"
Vanya on 42nd Street,"['August', 'My Dinner with André', 'Jane Austen in Manhattan', 'The Gymnast', 'Cyrano de Bergerac']"
The Underneath,"['Halloween 4: The Return of Michael Myers', 'True Love', 'The Stepfather', 'Bad Influence', 'Rachel, Rachel']"
The Walking Dead,False
What's Eating Gilbert Grape,"['Samsara', 'Year of the Dog', 'Dedication', 'Cyrus', 'Kal Ho Naa Ho']"
Virtuosity,"['Bluebeard', 'The Take', 'Off Limits', 'The Siege', 'Suspect Zero']"
While You Were Sleeping,"['Next of Kin', 'Sabah', 'September', 'Dan in Real Life', 'Peter-No-Tail']"
The War,"[""Jacob's Ladder"", 'The Grass Harp', 'Little Boy Blue', 'The Beguiled', 'Sundays and Cybele']"
Double Happiness,"['Puddle Cruiser', 'The World of Suzie Wong', 'Ten Inch Hero', 'All Over the Guy', 'Saving Face']"
Muriel's Wedding,"['Next Stop Wonderland', 'Citizen Ruth', 'Under the Bridges', 'Cooking With Stella', 'Twelfth Night']"
The Baby-Sitters Club,"['Mina Tannenbaum', 'Parenthood', 'It Runs in the Family', '11:14', 'Harriet the Spy']"
Ace Ventura: Pet Detective,"['Diggstown', 'True Crime', 'Tin Men', 'Tales of Terror', 'God Is Brazilian']"
"The Adventures of Priscilla, Queen of the Desert","['To Wong Foo, Thanks for Everything! Julie Newmar', 'Club Paradise', 'Connie and Carla', 'Flawless', 'Get on the Bus']"
Backbeat,"['A Star Is Born', 'Smoking / No Smoking', 'Imagine: John Lennon', 'Moonfleet', 'The Good German']"
Bitter Moon,"['The Other Man', ""The Rich Man's Wife"", 'The Tomb of Ligeia', 'The Umbrella Woman', 'Heart of a Dog']"
Bullets Over Broadway,"['Wondrous Oblivion', 'Love & Human Remains', 'Dog Park', 'Year of the Gun', 'Sabrina']"
Clear and Present Danger,"['Patriot Games', 'Rules of Engagement', 'Death Wish 4: The Crackdown', 'Never Die Alone', 'Desperado']"
The Client,"['A Very Natural Thing', 'The Saphead', 'Peeping Tom', 'Marnie', 'Stoked: The Rise And Fall Of Gator']"
"Corrina, Corrina","['A World Apart', 'The Allnighter', ""She's Out of My League"", 'Jersey Girl', 'Pokémon: Spell of the Unknown']"
Crooklyn,"['Summer of Sam', 'School Daze', 'The Original Kings of Comedy', 'She Hate Me', 'Book of Love']"
The Crow,"['The Crow: Salvation', 'The Crow: City of Angels', 'Pentathlon', 'Wake of Death', 'Masterminds']"
Cobb,"['Radio Inside', 'Like Mike 2: Streetball', ""Thieves' Highway"", 'Eyes of Laura Mars', 'Dark Blue']"
The Flintstones,"['101 Dalmatians', 'The Flintstones in Viva Rock Vegas', '102 Dalmatians', 'Pinocchio', 'Spider Baby']"
Forrest Gump,"['Crane World', 'The Umbrella Woman', 'Dedication', 'Sabah', 'The Private Lives of Pippa Lee']"
Four Weddings and a Funeral,"['The Lawless Heart', 'Twelfth Night', 'Next Stop Wonderland', 'Two Men Went To War', 'French Cancan']"
Higher Learning,"['Love & Basketball', 'Loser', 'Poison Ivy II: Lily', 'College', 'American Me']"
I Like It Like That,"['Caught Up', 'Crane World', 'The Fugitive Kind', 'The Amazing Quest of Ernest Bliss', 'Heist']"
I Love Trouble,"['While You Were Sleeping', ""Peter's Friends"", 'Forgetting Sarah Marshall', 'Reuben, Reuben', 'Hook']"
It Could Happen to You,"['Cooking With Stella', 'Blind Shaft', 'How Much Do You Love Me?', ""Finder's Fee"", 'The City']"
The Jungle Book,False
"The Wonderful, Horrible Life of Leni Riefenstahl","['A Brief History of Time', 'Triumph of the Will', 'The Song of Ceylon', 'JLG/JLG: Self-Portrait in December', 'Shadows']"
The Lion King,"['The Lion King 1½', ""The Lion King 2: Simba's Pride"", 'Quest for Camelot', 'Gordy', 'Nicholas Nickleby']"
Little Buddha,"['Hollywoodland', 'Waterland', 'The Last Command', 'Doing Time on Maple Drive', 'Rough Magic']"
New Nightmare,"['A Nightmare on Elm Street 3: Dream Warriors', 'A Nightmare on Elm Street 4: The Dream Master', 'A Nightmare on Elm Street', ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", '13B: Fear Has a New Address']"
The Mask,"['Son of the Mask', 'Take the Money and Run', 'How to Rob a Bank', 'Harry and Walter Go To New York', 'Metro']"
Maverick,"['Cooking With Stella', '5 Card Stud', 'Lethal Weapon 3', 'California Split', 'Lethal Weapon 4']"
Mrs. Parker and the Vicious Circle,"['The Anniversary Party', 'Hamlet', 'The Last Days of Disco', 'The Secret Lives of Dentists', 'Malice']"
The Naked Gun 33⅓: The Final Insult,"['The Naked Gun: From the Files of Police Squad!', 'The Naked Gun 2½: The Smell of Fear', 'Hot Rod', 'On a Clear Day', ""Everybody's Fine""]"
The Paper,"['The Out-of-Towners', 'The City', 'Stay', 'Henry: Portrait of a Serial Killer', 'Henry II, Portrait of a Serial Killer']"
Reality Bites,"['New York', ""It's All About Love"", 'Kal Ho Naa Ho', 'The Cable Guy', 'Super Fly']"
Red Rock West,"['Diary of a Hitman', 'Redbelt', 'Fun in Acapulco', 'The Last Seduction', 'Grandview, U.S.A.']"
Ri¢hie Ri¢h,"['Spider Baby', ""What's Cooking?"", 'Gordy', 'It Runs in the Family', 'Cockles and Muscles']"
Safe Passage,"['Mr & Mrs Bridge', 'Magnificent 7', 'Crane World', 'Irresistible', 'Max Dugan Returns']"
The River Wild,"['Black Dog', 'The Machine Girl', 'Nightwatch', 'Gloria', 'The Public Eye']"
Speed,"['Colors', 'Speed 2: Cruise Control', 'The Glimmer Man', 'Shakedown', 'Graduation']"
Speechless,"['The Comedians of Comedy', 'All Over the Guy', 'Running Mates', 'As You Like It', 'The Love Letter']"
Timecop,"['Wake of Death', 'China Strike Force', 'JCVD', 'Vidocq', 'Double Team']"
True Lies,"[""Let's Get Harry"", 'The Marksman', 'Diary of a Hitman', 'Heist', 'The Scarlet Dove']"
When a Man Loves a Woman,"['The Man from Elysian Fields', 'The Other Man', 'Eyes Without a Face', 'A Walk in the Clouds', 'Ju Dou']"
Wolf,False
Wyatt Earp,"['Hour of the Gun', 'Silverado', 'Tombstone', 'The Quick and the Dead', 'Pursued']"
Bad Company,False
A Man of No Importance,"['It Happened Here', 'Two Deaths', 'French Cancan', 'Possible Loves', 'Wildflowers']"
S.F.W.,"['French Cancan', 'Wilbur Wants to Kill Himself', 'The Good Life', 'The Importance of Being Earnest', 'Sex and Breakfast']"
A Low Down Dirty Shame,"['American Me', 'Black Dynamite', 'Faster, Pussycat! Kill! Kill!', ""I'm Gonna Git You Sucka"", 'Charlie Chan and the Curse of the Dragon Queen']"
"Boys Life: Three Stories of Love, Lust, and Liberation","['Rachel, Rachel', 'La Ronde', 'The Butterfly', 'Boys Life 2', 'Hideous Kinky']"
Colonel Chabert,"['How to Beat the High Co$t of Living', 'Hiroshima Mon Amour', 'Sign of the Lion', 'Paris Trout', 'Midway']"
"Faster, Pussycat! Kill! Kill!","[""Snake in the Eagle's Shadow"", 'All the Little Animals', 'Tartuffe', 'Ong Bak 2', 'July Rhapsody']"
Jason's Lyric,"[""L'eclisse"", 'A Little Romance', 'Before The Rains', 'Turkish Delight', 'Sabah']"
The Secret Adventures of Tom Thumb,"['Valhalla', 'Delgo', 'Honey, I Shrunk the Kids', 'The Twelve Tasks of Asterix', 'Thunderbird 6']"
Street Fighter,"['The Quest', 'The Last Dragon', 'Missing in Action', 'Wake of Death', 'Second In Command']"
Coldblooded,"['Mail Order Bride', 'Pie in the Sky', 'WiseGirls', 'Hiding Out', 'Kiler']"
Desert Winds,"['Peculiarities of the National Fishing', 'Requiem', 'The Wind', 'Bay of Angels', 'Dominick and Eugene']"
Fall Time,"['Metro', 'Never Die Alone', 'Street Fighter: The Legend of Chun-Li', ""Heaven's Burning"", 'The Contractor']"
The Fear,"['Behind the Mask: The Rise of Leslie Vernon', 'Popcorn', 'Cronos', 'Eden Lake', 'Friday the 13th Part III']"
Frank and Ollie,"['Melody Time', 'Waking Sleeping Beauty', 'Maradona by Kusturica', ""Garfield's Pet Force"", 'Expo Magic of the White City']"
Girl in the Cadillac,"['First Desires', ""Prizzi's Honor"", 'The Hot Spot', 'Radio Inside', 'Bandits']"
Homage,"['Body of Evidence', 'Not Without My Daughter', 'When Strangers Appear', 'The Gift', 'The Dead Girl']"
Mirage,False
Open Season,False
Dos Crímenes,"['Kika', 'Battle in Heaven', ""Pot o' Gold"", 'Mutant Action', '6ixtynin9']"
Brother Minister: The Assassination of Malcolm X,"['Dark Days', 'The City', 'American Swing', 'Bomb It', 'The Waiting Game']"
Highlander: The Final Dimension,"['Highlander: Endgame', 'Highlander', 'Just Visiting', 'The Navigator: A Medieval Odyssey', 'The Inhabited Island']"
Federal Hill,"['Lotto Land', 'Reindeerspotting - Escape From Santaland', 'Daisy', 'A Cure for Love', 'Slaves to the Underground']"
In the Mouth of Madness,"['Behind the Mask: The Rise of Leslie Vernon', 'Popcorn', ""Salem's Lot"", 'Dead Fury', 'Howling IV: The Original Nightmare']"
8 Seconds,"['Intervista', 'Ice Castles', 'New York', 'Cool World', 'Left Behind III: World at War']"
Above the Rim,"['Late Bloomers', 'Grand Theft Parsons', 'Coach Carter', 'Sunset Park', 'The Principal']"
Addams Family Values,"['The Addams Family', 'Baby Geniuses', 'Addams Family Reunion', 'The Cookout', '13B: Fear Has a New Address']"
Martin Lawrence: You So Crazy,"['Welcome Home Roscoe Jenkins', 'The Waiting Game', 'The Comedians of Comedy', 'Unmade Beds', 'Zach Galifianakis: Live at the Purple Onion']"
The Age of Innocence,"['Chilly Scenes of Winter', 'Katie Tippel', 'Angel', 'Pastoral Symphony', 'A Price Above Rubies']"
Airheads,"['Heavy Metal in Baghdad', 'FM', ""Metal: A Headbanger's Journey"", 'Rock School', 'A Long Hot Summer']"
The Air Up There,"['Semi-Pro', 'Air Bud', 'Air Bud: Golden Receiver', 'My Family', 'LadyBugs']"
Another Stakeout,"['Stakeout', 'Who Is Cletis Tout?', 'Serious Moonlight', 'The Crew', 'Car 54, Where Are You?']"
Bad Girls,"['City Slickers', 'The Life Aquatic with Steve Zissou', 'Bronco Billy', 'Skipped Parts', 'A Home of Our Own']"
Barcelona,"['Born to Dance', 'The Stooge', 'The Last Time', 'The Last Days of Disco', 'Hot to Trot']"
